headline	date	url	order	number_words	newspaper
Pantanal vai ser Património da Humanidade	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	36	6	EXPRESSO
Pedro Lapa é o comissário português	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	37	6	EXPRESSO
Benção anual de animais domésticos	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	39	5	EXPRESSO
Corrida contra o tempo para salvar os tripulantes do «Kursk»	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	21	10	EXPRESSO
Selecção portuguesa de futebol defronta Lituânia	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	30	6	EXPRESSO
Agravamento do défice comercial em Marrocos	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	20	6	EXPRESSO
Fogo em Almada combatido por 95 bombeiros	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	5	7	EXPRESSO
IGAE apreendeu um milhão e meio de contos em produtos contrabandeados	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	17	11	EXPRESSO
Empresas turísticas com menos lucros	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	19	5	EXPRESSO
Assessor do primeiro-ministro operado de novo	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	1	6	EXPRESSO
Sócrates considera  processo de co-incineração «longo e embaraçoso»	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	2	9	EXPRESSO
Francisco Assis faz apelo a socialistas	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	3	6	EXPRESSO
Ferreira do Amaral não quer «boy» para Procurador-Geral da República	2000-10-19	https://arquivo.pt/noFrame/replay/20001019070148/http://www.expresso.pt/	4	10	EXPRESSO
